512	[99, 30, 98, 59, 161, 363, 0]
516	[99, 30, 98, 59, 161, 362, 0]
518	[99, 30, 98, 59, 728, 1604, 0]
519	[99, 30, 98, 59, 728, 1605, 0]
520	[99, 30, 98, 59, 728, 1606, 0]
521	[99, 30, 98, 59, 728, 1603, 0]
524	[99, 7, 4, 19, 39, 88, 0]
525	[99, 7, 4, 19, 42, 97, 0]
526	[99, 7, 4, 19, 39, 91, 0]
529	[99, 7, 344, 275, 794, 1763, 0]
539	[99, 30, 472, 1195, 1730, 3714, 0]
545	[99, 113, 251, 660, 1212, 2531, 0]
546	[99, 113, 251, 660, 1212, 2529, 0]
548	[99, 113, 251, 660, 2590, 5231, 0]
549	[99, 113, 251, 674, 3741, 7655, 0]
550	[99, 113, 251, 660, 1784, 3796, 0]
552	[99, 113, 251, 674, 1839, 3935, 0]
553	[99, 113, 251, 674, 3741, 7656, 0]
554	[99, 113, 251, 1345, 3844, 7819, 0]
555	[99, 113, 251, 1345, 3844, 7819, 1341]
556	[99, 113, 251, 1345, 1613, 3413, 0]
558	[99, 113, 251, 674, 1839, 3941, 0]
562	[99, 113, 251, 660, 1851, 3971, 0]
563	[99, 113, 251, 660, 4736, 9712, 0]
564	[99, 113, 251, 660, 1851, 3972, 0]
565	[99, 113, 251, 660, 519, 1133, 0]
566	[99, 113, 251, 660, 4269, 8715, 0]
569	[99, 113, 251, 796, 2200, 4628, 0]
571	[99, 113, 251, 660, 2590, 5233, 0]
573	[99, 113, 251, 660, 2590, 5235, 0]
574	[99, 113, 251, 660, 2590, 5235, 939]
575	[99, 113, 251, 660, 4400, 9051, 0]
576	[99, 113, 251, 660, 2590, 5236, 0]
577	[99, 113, 251, 660, 4400, 9052, 0]
580	[99, 113, 251, 660, 2592, 5239, 0]
582	[99, 113, 251, 1133, 3256, 6601, 0]
584	[99, 113, 251, 1133, 4239, 8638, 0]
585	[99, 113, 251, 1133, 4239, 8640, 0]
587	[99, 113, 251, 1133, 4250, 8660, 0]
588	[99, 113, 251, 1133, 4250, 8662, 0]
589	[99, 113, 251, 1133, 4250, 8661, 0]
594	[99, 113, 251, 660, 4589, 9437, 1654]
595	[99, 113, 251, 660, 4589, 9437, 1654]
596	[99, 113, 251, 660, 4589, 9437, 1654]
597	[99, 113, 251, 660, 4589, 9437, 1654]
598	[99, 113, 251, 660, 4589, 9437, 1654]
599	[99, 113, 251, 660, 4589, 9439, 0]
600	[99, 113, 251, 660, 4589, 9437, 1654]
605	[99, 113, 251, 660, 4589, 9437, 1654]
607	[99, 113, 251, 660, 4589, 9437, 1654]
612	[99, 113, 251, 660, 4589, 9437, 1654]
614	[99, 113, 251, 1979, 4725, 9658, 0]
615	[99, 113, 251, 1979, 4725, 9659, 0]
617	[99, 113, 251, 1979, 4725, 9667, 0]
618	[99, 113, 251, 1979, 4725, 9660, 0]
621	[99, 113, 251, 660, 4735, 9705, 0]
622	[99, 113, 251, 660, 4735, 9706, 0]
623	[99, 113, 251, 660, 4735, 9707, 0]
624	[99, 113, 251, 660, 4735, 9711, 0]
628	[99, 113, 251, 1133, 5467, 11527, 0]
630	[99, 113, 251, 1979, 5483, 11553, 0]
631	[99, 113, 251, 1979, 5483, 11556, 0]
632	[99, 113, 251, 1979, 5483, 11559, 0]
633	[99, 113, 251, 1979, 5483, 11561, 0]
634	[99, 113, 251, 1979, 5483, 11552, 0]
636	[99, 113, 251, 796, 1724, 3705, 0]
644	[99, 113, 19, 43, 107, 238, 0]
645	[99, 113, 19, 43, 107, 240, 0]
646	[99, 113, 19, 43, 107, 241, 0]
648	[99, 113, 19, 43, 107, 236, 0]
650	[99, 113, 19, 43, 107, 239, 0]
654	[99, 113, 19, 43, 107, 242, 0]
659	[99, 113, 765, 1956, 3999, 8128, 0]
663	[99, 113, 765, 1956, 5398, 11345, 0]
666	[99, 113, 765, 1956, 5398, 11350, 0]
668	[99, 113, 765, 1956, 175, 390, 0]
669	[99, 113, 765, 1956, 5398, 11353, 0]
670	[99, 113, 765, 1956, 5398, 11359, 0]
671	[99, 113, 765, 1956, 5398, 11361, 0]
672	[99, 113, 765, 1956, 5398, 11372, 0]
673	[99, 113, 765, 1956, 2157, 4568, 0]
674	[99, 113, 765, 1956, 5398, 11356, 0]
678	[99, 113, 765, 1956, 5398, 11364, 0]
686	[99, 113, 765, 1956, 5398, 11350, 0]
691	[99, 113, 765, 1956, 5398, 11357, 0]
703	[99, 113, 251, 660, 4102, 8377, 0]
714	[99, 113, 522, 1336, 130, 284, 0]
715	[99, 113, 522, 1336, 68, 173, 0]
716	[99, 113, 522, 1336, 68, 175, 0]
718	[99, 113, 522, 1336, 68, 171, 0]
720	[99, 113, 522, 1336, 68, 172, 0]
